Site	Left	Right	Strand	Transcription-Units	Common-Name
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 61.5 bases upstream of hlyEp	1230517	1230539	-	hlyE	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 61.5 bases upstream of nagEp	703768	703790		nagE // nagBACD	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 61.5 bases upstream of nanCp	4539979	4540001	-	nanCMS // nanCM	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 61.5 bases upstream of secBp	3784254	3784276	-	secB-gpsA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases downstream of yiaKp1	3742725	3742747	+	yiaKLMNO-lyx-sgbHUE	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of gadAp2	3667659	3667681	-	gadAX // gadAX	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of modAp2	794989	795011	+	modABC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of pdhRp2	121961	121983	+	pdhR-aceEF-lpdA // pdhR-aceEF-lpdA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of rbsDp	3933249	3933271	+	rbsDACBZKR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of rpoSp	2868170	2868192	-	rpoS	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63 bases upstream of dusBp	3410172	3410194	+	dusB-fis	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases downstream of fumAp	1688367	1688389	-	fumAC // fumA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases downstream of puuDp	1361104	1361126	+	puuDRCBE	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of gadBp2	1572125	1572147	-	gadBC // gadBC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of hupAp	4200102	4200124	+	hupA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of ptsHp	2533427	2533449	+	ptsHI-crr // ptsHI-crr // ptsHI-crr	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64 bases upstream of ivbLp	3853076	3853098	-	ivbL // ivbL-ilvBN	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64 bases upstream of manAp	1688476	1688499		manA // fumAC // fumA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64.5 bases downstream of sodBp	1735376	1735398	+	sodB	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64.5 bases upstream of cytRp	4124563	4124585	-	cytR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 65.5 bases upstream of gltBp2	3354433	3354455	+	gltBDF // gltBDF	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 65.5 bases upstream of sfsAp	161570	161592	-	sfsA-dksA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of csiDp	2788848	2788870	+	glaH-lhgD-gabDTP	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of gntKp	3577703	3577725	-	gntK // gntKU	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 69.5 bases upstream of acsp	4287450	4287472	-	acs-yjcHG // acs-yjcHG	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 69.5 bases upstream of fixAp	42245	42267	+	fixABCX	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 7 bases downstream of dadAp2	1237520	1237542	+	dadAX	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 7.5 bases downstream of manAp	1688547	1688569		manA // fumAC // fumA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of chiZp	708158	708174	+	chiZPQ	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of epdp2	3073883	3073905	-	epd-pgk // epd-pgk-fbaA // epd-pgk-fbaA // epd-pgk	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of fucAp	2933811	2933833	-	fucAO	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of malTp	3552943	3552965	+	malT	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of mlcp	1668651	1668673	-	mlc-ynfK // mlc-ynfK // mlc	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of pdhRp2	121953	121975	+	pdhR-aceEF-lpdA // pdhR-aceEF-lpdA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of ascFp	2839347	2839369	+	ascFB	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of feaBp1	1447410	1447432		feaB // feaR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of flhDp	1978456	1978478	-	flhDC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of glnAp1	4058283	4058305	-	glnAZ // glnAZLG	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of murQp	2545651	2545673	+	murQP // murQP // murQP	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 73.5 bases upstream of nmpCp	576933	576955	-	nmpC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 73.5 bases upstream of rpoHp3	3600933	3600955	-	rpoH // rpoH // rpoH	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 73.5 bases upstream of tsxp2	432154	432176	-	tsx	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 75 bases upstream of ompRp2	3536749	3536771	-	ompR-envZ // ompR-envZ // ompR-envZ // ompR-envZ	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 76.5 bases upstream of putPp4	1079123	1079145	+	putP	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 77.5 bases upstream of furpa	710783	710805	-	fur // fur	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80 bases upstream of serAp2	3058618	3058640	-	serA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80 bases upstream of xylEp	4242364	4242379	-	xylE	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80.5 bases upstream of fucPp	2934028	2934050	+	fucPIKUR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80.5 bases upstream of hofMp	3522998	3523020	-	hofMNOP	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of dctAp	3683569	3683591	-	dctA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of melAp	4341795	4341817		melAB // melR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of pkap	2719839	2719861	+	patZ	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 82.5 bases upstream of pdhRp2	121941	121963	+	pdhR-aceEF-lpdA // pdhR-aceEF-lpdA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 83.5 bases upstream of chbBp	1821799	1821821	-	chbBCARFG	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 83.5 bases upstream of cspDp	922749	922771	-	cspD	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 83.5 bases upstream of hupBp3	461238	461260	+	hupB	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 84.5 bases upstream of spfp	4049804	4049826	+	spf-spfP	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 86 bases upstream of serCp1	957498	957520	+	serC // serC-aroA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 87.5 bases upstream of dsdXp	2477723	2477745	+	dsdXA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 89.5 bases upstream of casAp	2884399	2884419	-	casABCDE12	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 89.5 bases upstream of cstAp1	629755	629777	+	cstA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 89.5 bases upstream of nupCp	2512909	2512931	+	nupC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 89.5 bases upstream of uidAp	1696231	1696253	-	uidABC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 9.5 bases upstream of dadAp3	1237518	1237540	+	dadAX // dadAX	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 90.5 bases upstream of araJp	412609	412631	-	araJ	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 90.5 bases upstream of aspAp	4368512	4368534	-	aspA-dcuA // aspA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 90.5 bases upstream of pckp	3532581	3532597	+	pck	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of ansBp2	3100832	3100854	-	ansB	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of glpTQp	2352532	2352554		glpTQ // glpABC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of idnDp	4494516	4494538		idnDOTR // idnK	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of cddp	2231716	2231738	+	cdd	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of manXp	1901830	1901852	+	manXYZ	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of nupGp	3105548	3105570	+	nupG	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of ompFp2	987174	987196	-	ompF // ompF	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of rhaBp	4097554	4097576	-	rhaBAD	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of rhaSp2	4097608	4097630	+	rhaSR // rhaSR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 93.5 bases upstream of deoCp2	4617174	4617196	+	deoCABD	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 93.5 bases upstream of udpP	4016287	4016309	+	udp	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of araEp	2982292	2982314	-	araE-ygeA // araE	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of cddp	2231714	2231736	+	cdd	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of ptsGp1	1157661	1157683	+	ptsG	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of rpsFp	4424923	4424939	+	rpsF-priB-rpsR-rplI	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of uxaBp	1610804	1610826	-	uxaB	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 95.5 bases upstream of mhpAp	368413	368435	+	mhpABCDFE	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 96.5 bases upstream of hfqp3	4400113	4400135	+	hfq-hflXKC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 97.5 bases upstream of ybiTp	855839	855861		ybiT // ldtB	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 99.5 bases upstream of sodAp	4100649	4100671		sodA // rhaT	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating abgR	1404588	1404610	+	abgR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating aegA			-	aegA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating cas3p	2887268	2887290	-	cas3	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating dsdAp			+	dsdA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating ebgAp			+	ebgAC	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating glgCp1			-	glgCAP	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating mokB	1492320	1492342	-	mokB	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating ortT	1517320	1517342	+	ortT	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating oxyRp2			+	oxyR // oxyR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating psuKG	2259505	2259527	-	psuKG	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating rihA	684435	684457	-	rihA	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER	4531717	4531739	-	sgcXBCQAER	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating uxuRp			+	uxuR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating yahN	346357	346379	-	yahN	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating ygcW	2900452	2900474	-	ygcW	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating ygeW	3006094	3006116	+	ygeW	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating yjjN	4595902	4595915		yjjN // lgoR	
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating yqeF	2985663	2985685	-	yqeF	
CRP-Sxy DNA-binding-site 81.5 bases upstream of sxyp	1020991	1021013	+	yccR	
CsgD DNA-binding-site 1.5 bases downstream of flgMp	1130158	1130172	-	flgMN	
CsgD DNA-binding-site 10.5 bases upstream of fliAp1	2001823	2001837	-	fliAZY	
CsgD DNA-binding-site 114.5 bases upstream of wrbAp	1067866	1067880	-	wrbA-yccJ	
CsgD DNA-binding-site 118.5 bases upstream of csgDp3	1103456	1103470	-	csgDEFG // csgDEFG	
CsgD DNA-binding-site 12.5 bases upstream of ubiTp2	3301307	3301321	-	ubiT-yhbS	
CsgD DNA-binding-site 136.5 bases upstream of wrbAp	1067888	1067902	-	wrbA-yccJ	
CsgD DNA-binding-site 15.5 bases downstream of ubiTp2	3301280	3301294	-	ubiT-yhbS	
CsgD DNA-binding-site 166.5 bases upstream of csgDp3	1103504	1103518	-	csgDEFG // csgDEFG	
CsgD DNA-binding-site 166.5 bases upstream of wrbAp	1067918	1067932	-	wrbA-yccJ	
CsgD DNA-binding-site 17.5 bases downstream of flgMp	1130142	1130156	-	flgMN	
CsgD DNA-binding-site 18.5 bases downstream of fliEp2	2013069	2013083		fliE // fliE // fliFGHIJK	
CsgD DNA-binding-site 2 bases downstream of pepDp3	255731	255742	-	pepD	
CsgD DNA-binding-site 27.5 bases upstream of csgBp2	1103825	1103839	+	csgBAC // csgBAC	
CsgD DNA-binding-site 29.5 bases downstream of csgDp3	1103309	1103323	-	csgDEFG // csgDEFG	
CsgD DNA-binding-site 33.5 bases downstream of fliEp2	2013054	2013068		fliE // fliE // fliFGHIJK	
CsgD DNA-binding-site 38 bases upstream of csgBp2	1103816	1103827	+	csgBAC // csgBAC	
CsgD DNA-binding-site 42.5 bases upstream of yccTp	1027873	1027887	-	yccT	
CsgD DNA-binding-site 47 bases upstream of adrAp	403635	403646	+	adrA	
CsgD DNA-binding-site 57.5 bases upstream of csgBp2	1103795	1103809	+	csgBAC // csgBAC	
CsgD DNA-binding-site 65.5 bases upstream of adrAp	403615	403629	+	adrA	
CsgD DNA-binding-site 76.5 bases upstream of nlpAp	3840087	3840101	-	nlpA	
CsgD DNA-binding-site 80.5 bases upstream of csgBp2	1103772	1103786	+	csgBAC // csgBAC	
CsgD DNA-binding-site 9.5 bases downstream of csgDp3	1103329	1103343	-	csgDEFG // csgDEFG	
CsgD DNA-binding-site 91.5 bases upstream of nlpAp	3840102	3840116	-	nlpA	
CspA DNA-binding-site 108 bases upstream of gyrAp	2339562	2339569	-	gyrA	
CspA DNA-binding-site 60 bases upstream of gyrAp	2339514	2339521	-	gyrA	
CspA DNA-binding-site 88 bases upstream of gyrAp	2339542	2339549	-	gyrA	
CspA DNA-binding-site regulating hnsp			-	hns	
CsqR DNA-binding-site 11 bases upstream of yihUp5	4073662	4073687		yihUTS // yihV-csqR	
CsqR DNA-binding-site regulating csqRp			+	yihW	
CueR DNA-binding-site 202 bases downstream of moaAp1	817019	817038	+	moaABCDE	
CueR DNA-binding-site 25 bases upstream of copAp	511427	511446	-	copA	
CueR DNA-binding-site 25 bases upstream of cueOp	137011	137030	+	cueO	
CueR-Cu DNA-binding-site (BS0-10778)					
CueR-Cu DNA-binding-site (BS0-10779)					
CusR-Pasp DNA-binding-site 38.5 bases downstream of hiuHp	2038870	2038886	+	hiuH-msrPQ	
CusR-Pasp DNA-binding-site 57.5 bases upstream of cusRp	595512	595528		cusRS // cusCFBA	
CusR-Pasp DNA-binding-site 69.5 bases downstream of cyoAp	451577	451593	-	cyoABCDE	
CynR DNA-binding-site 33 bases upstream of cynRp	358738	358747		cynR // cynTS // cynTSX	
CynR DNA-binding-site 6 bases downstream of cynRp	358700	358709	-	cynR	
CynR-cyanate DNA-binding-site 69 bases upstream of cynTp	358700	358709	+	cynTS // cynTSX	
CysB DNA-binding-site 14 bases upstream of cysBp	1333751	1333797	+	cysB	
CysB DNA-binding-site 50.5 bases upstream of yciWp	1350162	1350204	-	yciW	
CysB DNA-binding-site 53 bases upstream of cysKp1	2532304	2532344	+	cysK	
CytR DNA-binding-site (BS0-11004)	4269358	4269366			
CytR DNA-binding-site 10.5 bases upstream of ppiAp4	3492452	3492468	-	ppiA // ppiA // ppiA	
CytR DNA-binding-site 22 bases upstream of cytRp	4124521	4124542	-	cytR	
CytR DNA-binding-site 22 bases upstream of ycdZp4	1100216	1100244	+	ycdZ	
CytR DNA-binding-site 29 bases upstream of ppiAp4	3492470	3492487	-	ppiA // ppiA // ppiA	
CytR DNA-binding-site 31.5 bases upstream of tsxp2	432110	432136	-	tsx	
CytR DNA-binding-site 33.5 bases upstream of rpoHp3	3600896	3600912	-	rpoH // rpoH // rpoH	
CytR DNA-binding-site 43 bases upstream of cytRp	4124544	4124561	-	cytR	
CytR DNA-binding-site 52 bases upstream of rpoHp3	3600913	3600932	-	rpoH // rpoH	
CytR DNA-binding-site 53 bases upstream of nupGp	3105589	3105608	+	nupG	
CytR DNA-binding-site 57.5 bases upstream of tsxp2	432140	432158	-	tsx	
CytR DNA-binding-site 59 bases upstream of cytRp	4124557	4124580	-	cytR	
CytR DNA-binding-site 61 bases upstream of deoCp2	4617208	4617227	+	deoCABD	
CytR DNA-binding-site 61 bases upstream of nupGp	3105581	3105599	+	nupG	
CytR DNA-binding-site 61 bases upstream of udpP	4016321	4016340	+	udp	
CytR DNA-binding-site 64 bases upstream of cddp	2231747	2231764	+	cdd	
CytR DNA-binding-site 68.5 bases upstream of tsxp2	432150	432170	-	tsx	
CytR DNA-binding-site 70.5 bases upstream of deoCp2	4617200	4617216	+	deoCABD	
CytR DNA-binding-site 70.5 bases upstream of udpP	4016313	4016329	+	udp	
CytR DNA-binding-site 73.5 bases upstream of rpoHp5	3600913	3600932	-	rpoH	
CytR DNA-binding-site 76.5 bases upstream of nupGp	3105568	3105582	+	nupG	
CytR DNA-binding-site 82.5 bases upstream of cddp	2231729	2231745	+	cdd	
CytR DNA-binding-site 87 bases upstream of udpP	4016295	4016314	+	udp	
CytR DNA-binding-site 87.5 bases upstream of deoCp2	4617180	4617201	+	deoCABD	
DcuR-P DNA-binding-site 104 bases upstream of frdAp2	4382508	4382525	-	frdABCD // frdABCD	
DcuR-P DNA-binding-site 106 bases upstream of dctAp	3683596	3683613	-	dctA	
DcuR-P DNA-binding-site 13 bases upstream of pckp	3532658	3532675	+	pck	
DcuR-P DNA-binding-site 161 bases upstream of aspAp	4368585	4368602	-	aspA-dcuA // aspA	
DcuR-P DNA-binding-site 37 bases upstream of dpiBp2	652127	652144	+	dpiBA	
DcuR-P DNA-binding-site 41 bases upstream of dcuBp2	4349124	4349141	-	dcuB-fumB	
DcuR-P DNA-binding-site 63 bases upstream of dcuBp2	4349146	4349163	-	dcuB-fumB	
DcuR-P DNA-binding-site 64 bases upstream of pckp	3532607	3532624	+	pck	
DcuR-P DNA-binding-site 75 bases upstream of aspAp	4368499	4368516	-	aspA-dcuA // aspA	
DcuR-P DNA-binding-site 98 bases upstream of dpiBp2	652066	652083	+	dpiBA	
DecR DNA-binding-site (BS0-8563)			-	cyuPA	
DeoR DNA-binding-site 269 bases downstream of deoCp1	4616939	4616955	+	deoCABD	
DeoR DNA-binding-site 308 bases upstream of deoCp2	4616962	4616978	+	deoCABD	
DeoR DNA-binding-site 608 bases upstream of deoCp1	4616063	4616079	+	deoCABD	
DeoR DNA-binding-site 7.5 bases upstream of tsxp1	432245	432261	-	tsx	
DeoR DNA-binding-site 8 bases upstream of deoCp1	4616663	4616679	+	deoCABD	
DeoR DNA-binding-site 8 bases upstream of deoCp2	4617262	4617278	+	deoCABD	
DeoR DNA-binding-site 887 bases upstream of deoCp2	4616383	4616399	+	deoCABD	
DeoR DNA-binding-site regulating nupGp			+	nupG	
DgoR DNA-binding-site 110 bases upstream of dgoRp	3875290	3875301	-	dgoRKADT	
DgoR DNA-binding-site 88.5 bases upstream of dgoRp	3875268	3875280	-	dgoRKADT	
DicA DNA-binding-site regulating dicA	1647865	1647885		dicA // dicC-ydfXW	
DicA DNA-binding-site regulating dicBp			+	dicB-ydfDE-insD-intQ	
DicD DNA-binding-site (BS0-10807)					
DicD DNA-binding-site (BS0-10808)					
DicD DNA-binding-site (BS0-10809)					
DinJ-YafQ DNA-binding-site 43.5 bases upstream of cspEp1	657096	657112	+	cspE	
DinJ-YafQ DNA-binding-site 89.5 bases downstream of dinJp	246519	246535	-	dinJ-yafQ	
DNA-binding transcriptional activator AllS DNA-binding-site 94 bases upstream of allDp	546498	546513	-	allDC-ylbA	
DNA-binding transcriptional activator Dan DNA-binding-site 134 bases upstream of ttdAp	3206287	3206294	+	ttdABT	
DNA-binding transcriptional activator Dan DNA-binding-site 163 bases upstream of ttdAp	3206258	3206265	+	ttdABT	
DNA-binding transcriptional activator Dan DNA-binding-site 59 bases upstream of ttdAp	3206362	3206369	+	ttdABT	
DNA-binding transcriptional activator Dan DNA-binding-site 74 bases upstream of ttdAp	3206347	3206354	+	ttdABT	
DNA-binding transcriptional activator Dan DNA-binding-site 92 bases upstream of ttdAp	3206329	3206336	+	ttdABT	
DNA-binding transcriptional activator Dan DNA-binding-site regulating ttdRp			-	ttdR	
DNA-binding transcriptional activator FucR DNA-binding-site 133 bases upstream of fucAp	2933877	2933892	-	fucAO	
DNA-binding transcriptional activator FucR DNA-binding-site 192 bases upstream of fucAp	2933936	2933951	-	fucAO	
DNA-binding transcriptional activator FucR DNA-binding-site regulating fucPp			+	fucPIKUR	
DNA-binding transcriptional activator XapR DNA-binding-site 119 bases upstream of xapAp2	2525023	2525036	-	xapAB // xapAB	
DNA-binding transcriptional activator XapR DNA-binding-site 39 bases upstream of xapAp2	2524943	2524956	-	xapAB // xapAB	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 145.5 bases upstream of yoaCp1	1893800	1893842	+	yoaC	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 16 bases upstream of hslJp	1441775	1441817	-	hslJ	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 164.5 bases upstream of dgcZp	1624023	1624065	-	dgcZ	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 177.5 bases upstream of ybdNp	636843	636885	-	ybdN	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 18 bases upstream of ssuEp	997560	997602	-	ssuEADCB	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 202 bases upstream of tauAp	384982	385024	+	tauABCD	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 38 bases upstream of tauAp	385146	385188	+	tauABCD	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 55 bases upstream of cysJp	2891998	2892040	-	cysJIH	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 573.5 bases upstream of ygeHp10	2991285	2991327	+	ygeH	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 66 bases upstream of cysPp	2543603	2543644	-	cysPUWAM	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 85 bases upstream of cysDp	2876432	2876474	-	cysDNC	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 93 bases upstream of tauAp	385091	385133	+	tauABCD	
DNA-binding transcriptional dual regulator CysB DNA-binding-site 977.5 bases upstream of yfbRp3	2407833	2407875	+	yfbR	
DNA-binding transcriptional dual regulator CysB DNA-binding-site regulating ariR	1216241	1216283	+	ariR	
DNA-binding transcriptional dual regulator CysB DNA-binding-site regulating cblp			-	cbl	
DNA-binding transcriptional dual regulator DsdC DNA-binding-site regulating dsdXp			+	dsdXA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10789)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10790)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10811)	70514	70529			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10812)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10825)	3318638	3318653			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10826)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10827)	3467024	3467039			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10828)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10830)	877219	877234			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10831)	4362243	4362258			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10832)	595693	595708			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10834)	1621722	1621737			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10836)	177002	177017			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10837)	1986935	1986950			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10839)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10840)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10841)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10842)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10843)	2751642	2751661			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10844)	2751840	2751859			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10845)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10847)	1711562	1711581			
